Population and Median Monthly Income from Main Employment by Year and District Council/ Constituency Area,,,,,,
,,,Population,Median Monthly Income from Main Employment(1),,
,,,Number of Persons,HK$,,
Year,,District Council/ Constituency Area,,,,
,,Kowloon City - Ma Tau Wai,20024,14040,,
,,Kowloon City - Ma Hang Chung,20493,16000,,
,,Kowloon City - Ma Tau Kok,15489,15000,,
,,Kowloon City - Lok Man,15881,15000,,
,,Kowloon City - Sheung Lok,15311,13000,,
,,Kowloon City - Ho Man Tin,20591,20000,,
,,Kowloon City - Kadoorie,18660,20000,,
,,Kowloon City - Prince,16068,18000,,
,,Kowloon City - Kowloon Tong,21228,20000,,
,,Kowloon City - Lung Shing,15268,15000,,
,,Kowloon City - Sung Wong Toi,22251,13800,,
,,Kowloon City - Kai Tak North,16141,11000,,
,,Kowloon City - Kai Tak South,14913,12000,,
,,Kowloon City - Hoi Sham,15652,14500,,
,,Kowloon City - To Kwa Wan North,15691,11000,,
,,Kowloon City - To Kwa Wan South,14837,15000,,
,,Kowloon City - Hok Yuen Laguna Verde,19490,20000,,
,,Kowloon City - Whampoa East,17762,20000,,
,,Kowloon City - Whampoa West,22196,22000,,
,,Kowloon City - Hung Hom Bay,18933,16000,,
,,Kowloon City - Hung Hom,14235,13500,,
,,Kowloon City - Ka Wai,19597,13000,,
,,Kowloon City - Oi Man,14635,14000,,
,,Kowloon City - Oi Chun,13386,13120,,
,,Wong Tai Sin - Lung Tsui,16538,13500,,
,,Wong Tai Sin - Lung Ha,11737,12800,,
,,Wong Tai Sin - Lung Sheung,20048,12250,,
,,Wong Tai Sin - Fung Wong,15093,16500,,
,,Wong Tai Sin - Fung Tak,15358,13000,,
,,Wong Tai Sin - Lung Sing,19555,20000,,
,,Wong Tai Sin - San Po Kong,24012,14500,,
,,Wong Tai Sin - Tung Tau,16848,14000,,
,,Wong Tai Sin - Tung Mei,16376,14500,,
,,Wong Tai Sin - Lok Fu,14352,13000,,
,,Wong Tai Sin - Wang Tau Hom,17289,12250,,
,,Wong Tai Sin - Tin Keung,13747,16500,,
,,Wong Tai Sin - Tsui Chuk and Pang Ching,18175,15000,,
,,Wong Tai Sin - Chuk Yuen South,15396,12000,,
,,Wong Tai Sin - Chuk Yuen North,15209,14250,,
,,Wong Tai Sin - Tsz Wan West,20076,12800,,
,,Wong Tai Sin - Ching Oi,20755,14000,,
,,Wong Tai Sin - Ching On,22617,12250,,
,,Wong Tai Sin - Tsz Wan East,20899,14000,,
,,Wong Tai Sin - King Fu,18835,15500,,
,,Wong Tai Sin - Choi Wan East,14785,16700,,
,,Wong Tai Sin - Choi Wan South,12691,12500,,
,,Wong Tai Sin - Choi Wan West,13680,12250,,
,,Wong Tai Sin - Chi Choi,16102,18000,,
,,Wong Tai Sin - Choi Hung,15062,12000,,
,,Kwun Tong - Kwun Tong Central,15553,12960,,
,,Kwun Tong - Kowloon Bay,13061,26550,,
,,Kwun Tong - Kai Yip,15092,14000,,
,,Kwun Tong - Lai Ching,15238,15500,,
,,Kwun Tong - Ping Shek,13144,11530,,
,,Kwun Tong - Sheung Choi,22064,12000,,
,,Kwun Tong - Jordan Valley,20291,11750,,
,,Kwun Tong - Shun Tin,18530,12000,,
,,Kwun Tong - Sheung Shun,17997,16640,,
,,Kwun Tong - On Lee,14491,12000,,
,,Kwun Tong - Po Tat,22449,12000,,
,,Kwun Tong - Sau Mau Ping North,20616,12250,,
,,Kwun Tong - Hiu Lai,17046,16000,,
,,Kwun Tong - Sau Mau Ping South,15415,12000,,
,,Kwun Tong - Sau Mau Ping Central,16979,12250,,
,,Kwun Tong - Hing Tin,17136,14000,,
,,Kwun Tong - Lam Tin,22122,13500,,
,,Kwun Tong - Kwong Tak,18950,13000,,
,,Kwun Tong - Ping Tin,16354,12250,,
,,Kwun Tong - Pak Nga,13018,16900,,
,,Kwun Tong - Yau Tong East,21280,13650,,
,,Kwun Tong - Yau Lai,20709,12250,,
,,Kwun Tong - Chui Cheung,23263,17000,,
,,Kwun Tong - Yau Tong West,19271,12000,,
,,Kwun Tong - Laguna City,26271,26000,,
,,Kwun Tong - King Tin,20174,21130,,
,,Kwun Tong - Tsui Ping,18554,12000,,
,,Kwun Tong - Po Lok,14077,13000,,
,,Kwun Tong - Yuet Wah,13709,15000,,
,,Kwun Tong - Hip Hong,16839,12380,,
,,Kwun Tong - Hong Lok,15970,15000,,
,,Kwun Tong - Ting On,17995,11700,,
,,Kwun Tong - Upper Ngau Tau Kok Estate,15204,12000,,
,,Kwun Tong - Lower Ngau Tau Kok Estate,17015,13000,,
,,Kwun Tong - To Tai,17060,20000,,
,,Kwun Tong - Lok Wah North,12670,12000,,
,,Kwun Tong - Lok Wah South,12934,13300,,
,,Kwai Tsing - Kwai Hing,18005,14000,,
,,Kwai Tsing - Kwai Shing East Estate,20013,11250,,
,,Kwai Tsing - Upper Tai Wo Hau,13779,13000,,
,,Kwai Tsing - Lower Tai Wo Hau,13461,13000,,
,,Kwai Tsing - Kwai Chung Estate North,20378,11500,,
,,Kwai Tsing - Kwai Chung Estate South,21729,12250,,
,,Kwai Tsing - Shek Yam,22396,12250,,
,,Kwai Tsing - On Yam,16327,12000,,
,,Kwai Tsing - Shek Lei South,20068,12000,,
,,Kwai Tsing - Shek Lei North,22586,12250,,
,,Kwai Tsing - Tai Pak Tin,23783,13000,,
,,Kwai Tsing - Kwai Fong,18492,12000,,
,,Kwai Tsing - Wah Lai,16996,15000,,
,,Kwai Tsing - Lai Wah,16187,15000,,
,,Kwai Tsing - Cho Yiu,16082,18500,,
,,Kwai Tsing - Hing Fong,24334,14000,,
,,Kwai Tsing - Lai King,13985,12000,,
,,Kwai Tsing - Kwai Shing West Estate,17804,12250,,
,,Kwai Tsing - On Ho,20605,15500,,
,,Kwai Tsing - Wai Ying,19900,20000,,
,,Kwai Tsing - Tsing Yi Estate,14924,15500,,
,,Kwai Tsing - Greenfield,18194,20000,,
,,Kwai Tsing - Cheung Ching,18663,13500,,
,,Kwai Tsing - Cheung Hong,14091,13000,,
,,Kwai Tsing - Shing Hong,15923,12880,,
,,Kwai Tsing - Tsing Yi South,17327,14000,,
,,Kwai Tsing - Cheung Hang,13968,12250,,
,,Kwai Tsing - Ching Fat,17661,14000,,
,,Kwai Tsing - Cheung On,12911,14000,,
,,Tsuen Wan - Tak Wah,22448,13000,,
,,Tsuen Wan - Yeung Uk Road,23996,14000,,
,,Tsuen Wan - Hoi Bun,19955,18500,,
,,Tsuen Wan - Clague Garden,17294,11250,,
,,Tsuen Wan - Fuk Loi,14729,12050,,
,,Tsuen Wan - Discovery Park,16864,20000,,
,,Tsuen Wan - Tsuen Wan Centre,15558,16000,,
,,Tsuen Wan - Allway,20391,17000,,
,,Tsuen Wan - Lai To,19308,20000,,
,,Tsuen Wan - Ting Sham,18573,20000,,
,,Tsuen Wan - Tsuen Wan West,19778,21000,,
,,Tsuen Wan - Tsuen Wan Rural,19687,20700,,
,,Tsuen Wan - Ma Wan,15012,25000,,
,,Tsuen Wan - Luk Yeung,14579,19000,,
,,Tsuen Wan - Lei Muk Shue East,17410,13000,,
,,Tsuen Wan - Lei Muk Shue West,17437,12000,,
,,Tsuen Wan - Shek Wai Kok,13318,12000,,
,,Tsuen Wan - Cheung Shek,12579,12250,,
,,Tuen Mun - Tuen Mun Town Centre,21629,19900,,
,,Tuen Mun - Siu Chi,19961,15000,,
,,Tuen Mun - Siu Tsui,18796,15200,,
,,Tuen Mun - On Ting,16265,12500,,
,,Tuen Mun - Yau Oi South,15144,12000,,
,,Tuen Mun - Yau Oi North,15175,13900,,
,,Tuen Mun - Tsui Hing,19094,18000,,
,,Tuen Mun - Shan King,16842,12250,,
,,Tuen Mun - King Hing,14681,12000,,
,,Tuen Mun - Hing Tsak,15187,13000,,
,,Tuen Mun - San Hui,19477,13000,,
,,Tuen Mun - Sam Shing,21552,17190,,
,,Tuen Mun - Hanford,20884,20000,,
,,Tuen Mun - Fu Sun,18968,15750,,
,,Tuen Mun - Yuet Wu,12923,15500,,
,,Tuen Mun - Siu Hei,12660,17500,,
,,Tuen Mun - Wu King,13680,12000,,
,,Tuen Mun - Butterfly,16377,12000,,
,,Tuen Mun - Lok Tsui,14607,18000,,
,,Tuen Mun - Lung Mun,16796,14500,,
,,Tuen Mun - San King,13671,13250,,
,,Tuen Mun - Leung King,12824,12300,,
,,Tuen Mun - Tin King,15253,13500,,
,,Tuen Mun - Po Tin,17700,13000,,
,,Tuen Mun - Kin Sang,15448,15000,,
,,Tuen Mun - Siu Hong,15299,15000,,
,,Tuen Mun - Prime View,19575,18000,,
,,Tuen Mun - Fu Tai,19111,13000,,
,,Tuen Mun - Tuen Mun Rural,19720,16000,,
,,Yuen Long - Fung Nin,19090,14000,,
,,Yuen Long - Shui Pin,20521,15000,,
,,Yuen Long - Nam Ping,15769,12000,,
,,Yuen Long - Pek Long,16515,14700,,
,,Yuen Long - Yuen Long Centre,17227,13500,,
,,Yuen Long - Yuen Lung,14916,21250,,
,,Yuen Long - Fung Cheung,16416,16000,,
,,Yuen Long - Shap Pat Heung East,15684,15000,,
,,Yuen Long - Shap Pat Heung Central,21459,21000,,
,,Yuen Long - Shap Pat Heung West,20512,15000,,
,,Yuen Long - Ping Shan South,25343,14200,,
,,Yuen Long - Ping Shan Central,13975,16000,,
,,Yuen Long - Ping Shan North,13339,17000,,
,,Yuen Long - Ha Tsuen,15266,15000,,
,,Yuen Long - Tin Shing,20851,15000,,
,,Yuen Long - Shui Oi,17720,12480,,
,,Yuen Long - Shui Wah,15133,12250,,
,,Yuen Long - Chung Wah,16804,13500,,
,,Yuen Long - Yuet Yan,18849,12000,,
,,Yuen Long - Fu Yan,19438,15000,,
,,Yuen Long - Yat Chak,20594,12000,,
,,Yuen Long - Tin Heng,20803,11750,,
,,Yuen Long - Wang Yat,18662,12000,,
,,Yuen Long - Ching King,19008,12000,,
,,Yuen Long - Kingswood North,23124,20000,,
,,Yuen Long - Tsz Yau,14700,13000,,
,,Yuen Long - Yiu Yau,14035,12500,,
,,Yuen Long - Tin Yiu,12713,12000,,
,,Yuen Long - Kingswood South,17613,18500,,
,,Yuen Long - Chung Pak,16185,16000,,
,,Yuen Long - Fairview Park,15583,20000,,
,,Yuen Long - San Tin,21990,17000,,
,,Yuen Long - Kam Tin,13489,15000,,
,,Yuen Long - Pat Heung North,11534,15000,,
,,Yuen Long - Pat Heung South,19318,15500,,
,,North - Luen Wo Hui,21191,14500,,
,,North - Fanling Town,14198,15500,,
,,North - Cheung Wah,16205,13500,,
,,North - Wah Do,18620,15000,,
,,North - Wah Ming,15915,13500,,
,,North - Yan Shing,19325,14500,,
,,North - Shing Fuk,14462,14000,,
,,North - Fanling South,14899,20000,,
,,North - Ching Ho,20338,11250,,
,,North - Yu Tai,18387,15000,,
,,North - Sheung Shui Rural,22365,15000,,
,,North - Choi Yuen,17329,12500,,
,,North - Shek Wu Hui,21135,15000,,
,,North - Tin Ping West,14389,13500,,
,,North - Fung Tsui,15637,15000,,
,,North - Sha Ta,15457,14000,,
,,North - Tin Ping East,17700,15000,,
,,North - Queen's Hill,17718,15000,,
,,Tai Po - Tai Po Hui,19893,11000,,
,,Tai Po - Tai Po Central,14055,18000,,
,,Tai Po - Chung Ting,14658,15000,,
,,Tai Po - Tai Yuen,14568,12000,,
,,Tai Po - Fu Heng,15710,13000,,
,,Tai Po - Yee Fu,14489,13000,,
,,Tai Po - Fu Ming Sun,13553,15000,,
,,Tai Po - Kwong Fuk and Plover Cove,13235,13200,,
,,Tai Po - Wang Fuk,11697,15000,,
,,Tai Po - Tai Po Kau,23702,19000,,
,,Tai Po - Wan Tau Tong,15273,14640,,
,,Tai Po - San Fu,15709,20000,,
,,Tai Po - Lam Tsuen Valley,19369,17000,,
,,Tai Po - Po Nga,13412,14500,,
,,Tai Po - Tai Wo,13727,13000,,
,,Tai Po - Old Market and Serenity,15204,19500,,
,,Tai Po - Hong Lok Yuen,23190,17000,,
,,Tai Po - Shuen Wan,19459,16000,,
,,Tai Po - Sai Kung North,13023,18000,,
,,Sha Tin - Sha Tin Town Centre,19683,21250,,
,,Sha Tin - Lek Yuen,15989,13000,,
,,Sha Tin - Wo Che Estate,17816,12000,,
,,Sha Tin - City One,16956,20000,,
,,Sha Tin - Yue Shing,15628,20000,,
,,Sha Tin - Wong Uk,17272,20000,,
,,Sha Tin - Sha Kok,16151,12000,,
,,Sha Tin - Pok Hong,14167,13000,,
,,Sha Tin - Jat Min,23318,13000,,
,,Sha Tin - Chun Fung,15266,14500,,
,,Sha Tin - Sun Tin Wai,16128,14500,,
,,Sha Tin - Chui Tin,15244,15000,,
,,Sha Tin - Hin Ka,12194,15000,,
,,Sha Tin - Lower Shing Mun,18134,12000,,
,,Sha Tin - Wan Shing,22269,20000,,
,,Sha Tin - Keng Hau,20945,15000,,
,,Sha Tin - Tin Sum,14513,12250,,
,,Sha Tin - Chui Ka,16232,12750,,
,,Sha Tin - Tai Wai,20266,14000,,
,,Sha Tin - Chung Tin,14764,16500,,
,,Sha Tin - Sui Wo,12261,18000,,
,,Sha Tin - Fo Tan,19096,21250,,
,,Sha Tin - Chun Ma,14623,25400,,
,,Sha Tin - Chung On,22013,15750,,
,,Sha Tin - Kam To,19678,17000,,
,,Sha Tin - Ma On Shan Town Centre,17287,23000,,
,,Sha Tin - Lee On,17068,13500,,
,,Sha Tin - Fu Lung,15705,15500,,
,,Sha Tin - Wu Kai Sha,16788,25000,,
,,Sha Tin - Kam Ying,16901,18000,,
,,Sha Tin - Yiu On,17461,14000,,
,,Sha Tin - Heng On,20036,15000,,
,,Sha Tin - On Tai,21583,20000,,
,,Sha Tin - Tai Shui Hang,18747,13500,,
,,Sha Tin - Yu Yan,18085,20000,,
,,Sha Tin - Bik Woo,17261,19600,,
,,Sha Tin - Kwong Hong,19227,17120,,
,,Sha Tin - Kwong Yuen,13039,13340,,
,,Sai Kung - Sai Kung Central,9623,15000,,
,,Sai Kung - Pak Sha Wan,16550,17630,,
,,Sai Kung - Sai Kung Islands,12183,18500,,
,,Sai Kung - Hang Hau East,14102,15000,,
,,Sai Kung - Hang Hau West,16633,16000,,
,,Sai Kung - Po Yee,17443,15500,,
,,Sai Kung - Wai King,15939,29070,,
,,Sai Kung - Do Shin,15882,20000,,
,,Sai Kung - Kin Ming,15631,12000,,
,,Sai Kung - Choi Kin,19949,13000,,
,,Sai Kung - O Tong,18557,21250,,
,,Sai Kung - Fu Kwan,19159,18000,,
,,Sai Kung - Kwan Po,14856,23500,,
,,Sai Kung - Nam On,19558,20000,,
,,Sai Kung - Hong King,20545,18000,,
,,Sai Kung - Tsui Lam,15063,13000,,
,,Sai Kung - Po Lam,15368,13000,,
,,Sai Kung - Yan Ying,18588,18000,,
,,Sai Kung - Wan Hang,21768,20000,,
,,Sai Kung - King Lam,16893,13500,,
,,Sai Kung - Hau Tak,17872,13000,,
,,Sai Kung - Fu Nam,17074,17500,,
,,Sai Kung - Tak Ming,18883,15000,,
,,Sai Kung - Sheung Tak,19666,12000,,
,,Sai Kung - Kwong Ming,17566,15000,,
,,Sai Kung - Wan Po North,17247,24000,,
,,Sai Kung - Wan Po South,19266,21000,,
,,Islands - Lantau,20689,14000,,
,,Islands - Yat Tung Estate North,20108,12250,,
,,Islands - Yat Tung Estate South,17165,12250,,
,,Islands - Tung Chung North,24942,28000,,
,,Islands - Tung Chung South,20169,17000,,
,,Islands - Discovery Bay,20271,31000,,
,,Islands - Peng Chau and Hei Ling Chau,6487,14000,,
,,Islands - Lamma and Po Toi,6014,17000,,
,,Islands - Cheung Chau South,11743,12830,,
,,Islands - Cheung Chau North,9213,13500,,
,,Land,7335384,15000,,
,,,,,,
Note(s) :,,,,,,
(1),Figures exclude unpaid family workers.,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Source :,,,,,,
Census and Statistics Department,,,,,,
The Government of the Hong Kong Special Administrative Region,,,,,,
Telephone: 3903 6944,,,,,,
Email: census@censtatd.gov.hk,,,,,,
